0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,class
9.475593,0.0,0.0,0.0,2.121275,0.0,0.0,3.0424223,0.0,5.5208335,0.0,0.0,0.0,4.2780466,0.0,3.9791121,0.0,9.472055,4.694957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.7587156,0.0,0.0,0.0,1.4160477,0.0,0.0,0.0,0.0,1.4829358,0.0,0.0,0.0,4.5485854,0.0,1.7880908,0.0,1.8960587,0.7293138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.4437847,0.0,0.0,0.0,5.9639554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.480724,0.0,1.6934952,0.0,0.5646117,0.66511166,0.0,0.0,0.11720477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.807358,0.0,0.0,0.0,3.3070529,0.0,0.0,1.171682,0.0,1.1396261,0.0,0.0,0.0,2.5186596,0.0,3.1122735,0.0,5.3587656,2.0222473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2837168,0.0,1.3603796,0.0,0.0,0.0,0.2506386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8727753,0.0,0.0,0.0,0.0,0.28008032,0.0,0.0,0.0,0
0.48270053,0.0,0.0,0.0,0.0,0.0,0.0,4.8970904,0.0,2.0820036,0.0,0.0,0.0,1.32911,0.0,0.0,2.2026057,0.059153657,1.2074596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.535912,0.0,0.0,0.055366408,3.871505,0.0,0.0,1.7823145,0.0,1.4331805,0.0,0.8308803,0.0,0.81937766,0.0,3.0482247,0.0,7.594061,1.6351442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.6005132,0.0,0.0,0.0,0.5353719,0.0,0.0,0.12681375,0.0,1.5617024,0.0,0.0,0.0,2.7922297,0.0,1.2662143,0.0,1.8358859,1.5507029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.4511737,0.0,0.0,0.0,0.44228846,0.0,0.0,0.0,0.0,1.7854816,0.0,0.0,0.0,4.6073217,0.0,0.0,0.0,0.0,2.3517432,0.0,0.0,0.0,0.0,0.47752124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.475253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1809459,0.0,0.0,1.7287264,0.0,0.0,0.0,0.0,0.0,0.0,1.3754563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0122504,0.0,0.0,0.0,3.112642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0511112,0.0,0.0,0.0,0.0,0.0,0.0,2.327803,0.0,1.9515702,0.0,0.0,0.0,2.079054,0.0,0.03117781,0.39685005,1.0095958,1.4356209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.656693,0.0,0.0,0.0,0.0,0.7332455,0.0,0.0,0.0,0.0,2.1382403,0.0,0.0,0.0,0.0,1.0110121,0.0,0.0,0.0,0
