0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,differenceends,sumvalues,sumsquares,sumlogs,amean,gmean,pvariance,svariance,sd,kurtosis,skewness,scm,class
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18023907,0.0,0.0,0.0,1.344814,0.0,0.0,0.0,0.0,0.0,8.35224,0.0,0.0,0.0,0.0,0.24170616113744078,0.07889230317999803,0.08067600880314438,0.07959760212747782,0.427762102758629,0.6733536126659165,0.03455412535371274,0.034004261747150794,0.11044573279161987,0.39272499335162137,0.24080725866283487,0.02039332710867289,0
0.0,0.3095297,2.3962474,0.0,7.4875245,0.0,0.0,1.2775563,0.0,0.0,0.0,0.0,2.720431,2.1054323,1.9055732,0.0,1.0756152,0.0,0.9853739,1.7912014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5570564,0.0,0.0,0.0,2.155235,0.2985781990521327,0.03149989069138716,0.02644424692071913,0.04276520696223515,0.23324931209463096,0.5437748387877589,0.05391866542346758,0.05319594281478433,0.15521815514775614,0.1542715270739842,0.68924938989808,0.015486113441046558,0
0.0,0.0,7.813975,5.2013993,0.0038653547,0.0,0.0,0.90861315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.663986,0.0,0.0,0.0,0.0,0.5308056872037915,0.025594509856106413,0.02785083684461661,0.0,0.3481709732346331,0.0,0.16815755553598274,0.16621074499206145,0.3410709766963891,0.23807431984791877,0.3955745684955043,0.03250390889989487,0
3.4382365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8326879,0.0,0.0,0.0,16.489073,13.428718,0.0,0.0,2.4529076,0.0,0.0,0.0,0.0,1.5325553,0.0,0.3744075829383886,0.09054690968935987,0.09212407702448058,0.0925878982733054,0.3851595003102041,0.6351912069032858,0.07659263619163711,0.07545489119398556,0.19989294704376145,0.07625553526959467,0.541811139936994,0.04590932894771691,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91918945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.316334,0.0,0.0,0.0,0.0,0.3744075829383886,0.05939191822357889,0.04980749439946946,0.07458599036417267,0.18641746359179645,0.5025375478669173,0.08132024205989721,0.08014140280714302,0.20857555103165812,0.16645242856102696,0.6831773830346971,0.040768563673256285,0
0.0,0.0,4.9850883,1.8319784,4.395246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9334009,0.0,0.0,0.0,0.0,0.0,0.0,2.0783541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.658803,0.0,0.0,0.0,2.8442879,0.13270142180094788,0.020380285343004997,0.018947762416194225,0.028517609221835216,0.3464301282878036,0.6250688871583413,0.0272298644664569,0.02690095256006604,0.09171541639099662,0.12179216928306272,0.5463446839646516,0.005197724618055293,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7616611,0.0,0.0,0.0,0.0,0.0,6.5073504,0.0,0.0,0.0,0.0,0.2132701421800948,0.03509960662478087,0.031632054242250233,0.04382121955075712,0.309760341549993,0.5989943356389942,0.03359919375400932,0.03312387864174764,0.10820024306324347,0.17329820005444016,0.5186855432921282,0.010548614351813625,0
0.0,0.0,1.6913154,0.0,5.156489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4353172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.973999,0.0,0.0,0.0,0.0,0.17535545023696683,0.032507430948866656,0.02358918945968022,0.04729987189639633,0.149956319535834,0.49626593237761546,0.03270622057654136,0.03222617436264697,0.10588968357232867,0.1652523410641246,0.6783238667213748,0.011843901282904471,0
0.0,0.0,6.897518,3.642535,0.0,0.0,0.0,3.3424904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.289215,0.0,0.0,0.0,0.0,0.5545023696682465,0.019541121085427736,0.022058103987901236,0.0,0.37341371999064965,0.0,0.1705314252362757,0.16872875847881427,0.34440483816422685,0.23729120554301086,0.42010225746322566,0.026216900537375395,0
0.0,0.0,1.4948164,5.205067,2.2101753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5467503,0.42125386,0.51710534,0.0,0.0,0.0,0.0,0.0484539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.07274,0.0,0.0,0.0,3.5245123,0.21800947867298578,0.011376242961136377,0.011653185124829152,0.0191659654693865,0.3932171398119252,0.6487823376069921,0.04913264571214548,0.04871859382926426,0.14539601877421435,0.07537666672324966,0.5267846159673588,0.0051995048232270765,0
