0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,compactness1,compactness2,sphericalDisproportion,sphericity,area,surfaceArea,surfaceVolumeRatio,volume,class
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.792051,20.878038,0.0,0.0,0.0,0.0,0.0,0.0,8.108679,4.1355624,0.0,6.890251,0.0,10.675073,6.4918656,6.887181,0.0,0.0,0.0,3.1062386,0.0,0.0,6.049791,0.0,0.006453183976622428,0.00805792465921665,0.4592060597044326,0.18663397107425486,0.042486583184257604,0.02834011269841128,0.3466221021068247,0.006453183976622427,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2381841,12.460936,0.0,0.0,6.8516455,0.0,0.0,0.0,6.4617553,0.0,0.0,0.0,0.0,10.6171255,0.53190374,4.6339216,0.0,0.0,5.8671584,0.0,0.0,0.0,9.431789,0.0,0.004557235045485381,0.0075304934865672865,0.47056163304804743,0.22442673605464306,0.03398926654740608,0.021502738916520346,0.3928082984775597,0.00455723504548538,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.65918,0.0,0.0,0.0,0.0,0.0,0.0,0.30957085,2.4564195,0.0,0.0,0.0,0.8771895,0.0,11.335375,0.0,0.0,0.0,0.0,1.4924325,0.0,0.0,0.60773784,0.06263589083508724,0.02402869879967602,0.29491879702762014,0.0555397892837777,0.1475849731663685,0.1506922701746483,0.10481127371069286,0.06263589083508724,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3894415,0.0,0.0,6.0104756,0.0,0.0,0.0,0.0,1.0684233,0.0,0.0,0.0,6.582599,0.0,0.0,0.0,0.0,0.0,1.7188854,0.0,0.0,3.974325,0.0,0.007388112922022579,0.011167825899290057,0.40615682512934936,0.19002914687557831,0.04159212880143113,0.0314942033228948,0.2995762308675806,0.007388112922022577,0
0.0,0.2763012,4.2900267,0.0,0.0,0.0,0.0,2.1764908,5.2250624,1.258862,0.0,0.0,0.0,1.3646916,0.0,0.0,5.965369,2.2775931,0.39731947,1.2969891,0.0,3.8663769,5.4412203,2.001674,0.0,3.7655084,4.4095163,0.0,0.0,0.0,5.7685547,0.0,0.001169748308430885,0.005152587042804527,0.5359199798757466,0.38355416755101424,0.016100178890876567,0.0067850141290680555,0.6087288542260418,0.0011697483084308848,0
0.0,0.0,1.6454897,0.0,0.0,0.0,0.0,0.0,5.7371173,4.1598783,0.0,0.0,0.0,0.0,0.0,0.0,7.094016,1.104227,0.0,3.9999554,0.0,6.737119,6.0954394,2.3971767,0.0,0.4641678,2.2399368,0.0,0.0,0.0,8.164112,0.0,0.0037571098084917647,0.030937923039860923,0.2626703502870918,0.39034451915366103,0.015652951699463326,0.01838962871781879,0.26033090978496554,0.003757109808491764,0
4.0699506,0.0,0.0,22.97428,0.0,0.0,0.0,0.0,0.0,65.94762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09060548607608153,0.01335710890509251,0.3784072275949999,0.03274448419797257,0.231216457960644,0.1949256748289488,0.11304182261980288,0.09060548607608147,0
0.0,0.0,1.1239916,0.0,0.0,0.0,0.0,1.9936832,7.170069,4.33327,0.0,0.0,1.5097381,3.5470629,0.0,0.0,10.750811,0.0,0.0,2.913333,0.0,7.7492466,8.152416,1.2733341,0.81471026,2.4060876,5.9719586,0.0,0.0,0.0,10.87986,0.0,0.0010175505731331866,0.00975838809253864,0.42772145972569275,0.4841091614965935,0.01073345259391771,0.005987519015994357,0.517251157496919,0.001017550573133186,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.609399,0.0,0.0,5.9366693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.480592,0.0,4.929938,0.0,0.0,0.0,0.0,0.0,0.0,7.8122153,0.0,0.007692508392617977,0.02553631932461832,0.28695090076910484,0.24228533094812163,0.030858676207513418,0.03249550014790841,0.2231457329388753,0.007692508392617975,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67274755,8.910426,0.0,0.0,7.6421504,3.3920228,0.0,0.0,8.134577,0.85918736,0.0,0.34925753,0.0,6.4657674,5.719518,0.0,0.0,0.0,8.413537,0.0,0.0,0.0,5.596375,0.0,0.0019481310118105444,0.006432597714615175,0.4973898704499846,0.3314282331895192,0.020125223613595707,0.010608687548111858,0.5140728818279677,0.0019481310118105442,0
