0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,differenceends,sumvalues,sumsquares,sumlogs,amean,gmean,pvariance,svariance,sd,kurtosis,skewness,scm,class
0.14800355,0.0,0.0,0.17582767,0.006592565,0.0,0.2675394,0.15620768,0.0,0.0,0.0,0.0,0.0,0.043743562,0.0,0.0,0.0,0.03052872,0.022563253,0.0,0.0,0.18780805,0.18699446,0.14321867,0.3744075829383886,0.025969282242985576,0.019562734029389642,0.04044119899349228,0.12501963729630894,0.4597481007891944,0.08202964582648711,0.08096903280751216,0.2100866795847882,0.15959803935475225,0.6788021664188137,0.021949561596528555,0
0.0,0.021381004,0.0,0.02406036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015441075,0.02421546,0.0,0.0,0.0,0.022418227,0.0,0.020608624,0.021189027,0.0,0.0,0.0,0.016869811,0.6398104265402844,0.1017493451667262,0.13131955171493503,0.08696102151658927,0.6349053664262846,0.7826393230636124,0.14125255068879516,0.1392537352715655,0.3038225842532942,0.16576830354689345,0.5596214063072678,0.07088299839721181,0
0.48985633,0.0,0.7160501,0.10175683,0.459184,0.0,1.3162014,0.44221643,0.0,0.8273985,0.0,0.0,0.0,1.1133296,0.55242294,0.43854466,0.0,0.37491265,0.0,0.0,0.0,0.47189227,0.8156806,0.3597252,0.14691943127962084,0.030681094498314205,0.022316168145314556,0.04466398410347311,0.165060711375848,0.50865832477722,0.02361502701940437,0.02325540542005336,0.08149568960321388,0.13896085812979672,0.5652231800816621,0.008658026985173208,0
0.6557397,0.0,1.6128651,0.0,0.8180265,0.0,1.4095701,0.0,1.1356012,2.1746545,0.04632862,0.0,0.023769855,1.1709721,2.835865,1.8533245,0.0023135506,0.39387017,0.0,0.0,0.0,0.9469842,0.70248854,0.14693852,0.22274881516587677,0.0067798497379987985,0.004485251599285072,0.017314158757545106,0.20316588413309988,0.5242463627030799,0.04619841488028636,0.04583283502550492,0.13888385709074239,0.10318547198073039,0.4844802011634472,0.0045406618966668914,0
0.9486365,0.0,2.2643833,0.0,2.0612433,0.0,2.7048745,0.0,0.7609232,3.331121,0.0,0.0,0.07582533,1.8223281,4.1247325,2.093227,0.05744272,1.2376941,0.0,0.0,0.0,1.0665525,0.5653046,0.56620455,0.6919431279620853,0.01232946837993773,0.017598239270030486,0.0,0.5309217413846835,0.0,0.2175854239723718,0.21589125703605275,0.4030979176003251,0.2044713743042377,0.4650935032951409,0.021015696475632544,0
0.0,0.021381004,0.0,0.02406036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015441075,0.02421546,0.0,0.0,0.0,0.022418227,0.0,0.020608624,0.021189027,0.0,0.0,0.0,0.016869811,0.2985781990521327,0.07372967776364084,0.07241330550590784,0.08025848385176168,0.3254284297788478,0.5873952981372346,0.09713977721770659,0.09574137185431095,0.23604572868142712,0.06618476532959228,0.49664182544400687,0.04958067881589643,0
0.0,0.0,0.14208294,0.21168561,0.34823105,0.0,0.37644407,0.0,0.08881811,0.10697447,0.0,0.0,0.0,0.31572476,0.32638252,0.0,0.29168257,0.2741218,0.0,0.0,0.0,0.07080647,0.19778866,0.21291384,0.08530805687203794,0.010241062832763253,0.009315266904706061,0.018701355015827155,0.3553461358141,0.6358290878543364,0.011516476034227986,0.011420376816883165,0.044509886604207294,0.15235642961945542,0.6746968253142229,0.001203650700453597,0
0.0,0.021381004,0.0,0.02406036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015441075,0.02421546,0.0,0.0,0.0,0.022418227,0.0,0.020608624,0.021189027,0.0,0.0,0.0,0.016869811,0.3270142180094787,0.07678081382638534,0.0757447239767406,0.08300193765055892,0.3292754225529634,0.5911911685783361,0.0981952908594953,0.09677702742457667,0.23779921980306615,0.09169879844186363,0.5733645065537638,0.05175396916169378,0
0.0,0.021381004,0.0,0.02406036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015441075,0.02421546,0.0,0.0,0.0,0.022418227,0.0,0.020608624,0.021189027,0.0,0.0,0.0,0.016869811,0.2559241706161137,0.024106283276325382,0.020780419776949263,0.03427436796048737,0.259198308206945,0.5605305287649098,0.055167896548514596,0.054482555857676765,0.15798129363108118,0.10540508419039027,0.6711827408549768,0.012220105607489871,0
0.0,0.0,0.76201624,0.12996338,0.29525992,0.0,1.0128313,0.1746008,0.0,0.892646,0.0,0.0,0.0,0.78380775,0.5238024,0.28396982,0.0,0.0,0.0,0.0,0.0,0.8615231,0.5340383,0.28075227,0.24170616113744078,0.0301175780470285,0.02286478509733196,0.04349403934530293,0.17617035610136922,0.5107157702704438,0.039810187015013446,0.03925461195917257,0.12344397550536454,0.18243440783511558,0.6667070466295821,0.012467388999167219,0
