0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,idm135_N,differenceends,class
2.086572,0.517821,2.6141477,0.0,0.0,0.0,3.5301578,0.0,0.0,6.2649665,0.0,0.0,0.0,0.0,3.855134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6576471,8.368863,0.0,0.0,0.0,9.432095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.818363,0.0,0.0,2.552858,4.596337,4.841561,0.0,0.0,0.0,0.0,0.0,4.916837,0.0,0.32994708,0.0,0.0,0.0,2.2798462,0.0,0.0,0.0,0.002315564151716933,0.5308056872037915,0
1.3168484,0.5993715,8.451544,0.0,0.0,0.0,0.0,0.0,0.0,8.906264,1.6519597,0.0,0.0,0.0,6.291429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7660874,0.0,5.190611,0.0,0.0,0.0,1.502842,0.102611735,8.774633,0.0,0.0,0.0,14.243124,0.0,0.0,0.0,0.0,0.0,0.0,2.1210968,5.8829837,0.0,0.0,1.7417389,5.422718,3.0155284,0.0,0.0,0.0,0.0,0.0,3.46669,0.0,4.4193077,0.0,0.0,0.0,2.8837473,0.0,0.0,0.0,0.009475808405721787,0.6540284360189573,0
0.6249896,0.0,4.1351185,0.0,0.0,0.0,2.4785113,0.0,0.0,5.53206,0.84310585,0.0,0.0,0.0,3.2806244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1184943,0.0,0.0,0.0,0.0,0.0,6.395261,0.0,6.070562,0.0,0.0,0.0,7.433257,0.0,0.0,0.0,0.0,0.0,0.0,2.3079166,9.14974,0.0,0.0,4.38193,2.467385,2.7165852,0.0,0.3899214,0.0,0.0,0.0,2.4740717,0.0,1.4234099,0.0,0.0,0.0,0.19612874,0.55793756,0.0,0.0,0.0035489342644158,0.3744075829383886,0
13.854145,11.34366,5.241155,0.0,0.0,0.0,5.215738,0.0,0.0,13.010376,0.0,0.0,0.0,0.8369138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2695613,2.8098073,0.0,0.0,0.0,0.0,0.0,11.909623,12.16541,0.0,0.03776541,0.0,9.54178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.261251,0.0,0.0,0.0,0.0,2.1235533,0.0,5.1031837,0.0,0.0,0.0,4.418409,0.0,0.969002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004645486819121522,0.7345971563981043,0
8.321407,6.9070024,4.329841,0.0,0.0,0.0,5.7938447,0.0,0.0,5.589401,0.0,0.0,0.0,0.0,0.15318742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6047608,0.0,1.2872558,0.0,0.0,0.0,0.0,5.5563135,11.328532,0.0,0.0,0.0,11.280586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.873484,0.0,0.0,0.0,1.0406933,0.0,0.0,0.0,0.0,0.0,0.0,5.1792545,0.0,3.9820254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008214787500296566,0.22274881516587677,0
1.4861449,0.0,2.4323587,0.0,0.0,0.0,4.910464,0.0,0.0,7.257466,0.0,0.0,0.0,0.0,2.4735053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9890937,0.0,0.0,0.0,0.0,0.0,2.2956412,7.005318,0.0,0.0,0.0,7.284189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0335476,0.0,0.0,0.73845,2.488726,4.170916,0.0,0.19934554,0.0,0.0,0.0,3.4211764,0.0,4.7289968,0.0,0.0,0.0,0.32922736,0.0,0.0,0.0,0.0025350061820791623,0.21800947867298578,0
9.126164,5.743305,3.1167784,0.0,0.0,0.0,4.837632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94854486,0.0,0.0,0.8609544,0.0,0.0,0.0,0.0,0.0,3.711534,0.0,3.9209762,0.0,0.0,0.0,0.0,3.2111223,12.041218,0.0,0.0,0.0,9.2104645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.233032,0.0,0.0,0.0,0.0,2.2949266,0.0,0.14999337,0.340273,0.0,0.0,6.065247,0.0,4.144473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02431098636644587,0.42654028436018954,0
4.7795177,7.8563747,1.5426365,0.0,0.0,0.0,6.2486258,0.0,0.0,3.8056452,0.0,0.0,1.3493551,0.0,0.48599648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6933577,0.0,2.8453012,0.0,0.0,0.0,0.0,3.5509431,14.1852255,0.0,1.5458921,0.0,10.795194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.748266,0.0,0.0,0.0,0.0,3.2767434,0.0,0.0,0.0,0.0,0.0,9.622479,0.0,4.202598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019365726428902847,0.2985781990521327,0
8.484749,10.249704,6.8578277,0.0,0.0,0.0,5.7601686,0.0,0.0,1.5263664,0.0,0.0,0.0,0.0,3.1153915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0043378,1.5437223,0.0,2.9813073,0.0,0.0,9.592422,14.831227,0.0,0.0,0.0,14.571695,0.0,0.0,0.0,1.7353699,0.0,0.0,0.0,9.482152,0.0,0.0,0.0,4.8949895,7.2209167,0.0,0.0,0.0,0.0,0.0,7.4700217,0.0,3.146692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004004105731587571,0.8720379146919431,0
1.8232293,0.69270796,3.388605,0.0,0.0,0.19578081,0.5813451,0.0,0.0,4.166264,0.0,0.0,0.0,0.0,2.8820653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8741024,0.0,1.8021185,0.0,0.0,0.0,4.467484,1.9758358,6.7165446,0.0,0.0,0.0,10.098902,0.0,0.0,0.0,0.0,0.0,0.0,1.1235259,9.248387,0.0,0.0,1.4897643,3.0424716,2.3803341,0.0,0.5208216,1.17364,0.0,0.0,2.7709322,0.0,0.12651736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02253109267172441,0.3459715639810427,0
