0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,compactness1,compactness2,sphericalDisproportion,sphericity,area,surfaceArea,surfaceVolumeRatio,volume,class
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008627437338018126,0.004952400761021218,0.542870609227058,0.13494241949910554,0.061270125223613595,0.03550065130220736,0.3654670194688938,0.008627437338018124,0
0.0,1.0105616,0.17952465,0.0,0.0,0.0,0.0,0.0,0.08884908,0.8806006,1.0216931,1.5353667,0.2058802,0.0,1.5281979,0.8752556,0.2639749,0.0,0.0,0.0,0.38321617,0.0,0.0,0.36079657,0.0034527143378963662,0.009883665171454545,0.425659594411531,0.2838477389551867,0.025044722719141328,0.01716041806840489,0.39061384346414135,0.0034527143378963662,0
0.0,1.677498,0.0,0.0,0.0,0.0,0.0,0.59532994,2.1949399,1.9060537,0.85958093,2.0792027,0.0,0.0,3.8401644,0.6111419,0.0,0.0,0.0,0.0,0.0,0.0,0.42238382,2.345862,0.02422987945939365,0.08636622987667325,0.15344044251022476,0.17413110145668284,0.04606440071556351,0.07663481709571895,0.09167085206496821,0.024229879459393644,0
0.0,1.8305922,0.38672206,0.17569679,0.0,0.0,0.0,1.3531498,0.65869665,1.2382561,3.389006,3.3198273,0.0,0.0,7.5583525,3.370822,0.0,0.0,0.0,0.95486695,1.8109541,0.0,0.0,1.6379898,0.002909150997547443,0.010104936412848074,0.4220919806441713,0.31244409660107336,0.021914132379248663,0.014893491148178522,0.40615198535628455,0.0029091509975474423,0
0.0,0.93025744,0.46183583,0.17698184,0.0,0.0,0.0,0.0,0.0,0.3998118,1.8905709,2.5028,0.0,0.0,1.2324204,1.1286335,0.0,0.0,0.0,0.0,0.44923326,0.0,0.0,0.82608324,0.006627124245534086,0.022328085139218242,0.3047022465436606,0.2537658562367865,0.029069767441860468,0.028936448950153057,0.24550858780158366,0.006627124245534083,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51376754,0.0,0.57126,2.0792735,2.5284538,0.0,0.0,3.0663977,0.6259732,0.0,0.0,0.0,0.0,0.14916328,0.08150078,0.0045511173,1.3708292,0.0038092918891652608,0.06474227907995249,0.1807667839806617,0.49485688729874777,0.010286225402504472,0.018597697632942528,0.19858900742253294,0.0038092918891652608,0
3.2965338,0.0,0.14834575,4.6771727,3.1745696,0.0,0.0,1.4990591,0.0,0.0,0.024367979,0.0,0.0,0.0,5.4623046,0.0,7.210127,5.358449,0.0,2.3943655,0.0,0.0,0.0,0.0,0.10302482127637372,0.018135288183590517,0.3334448095909409,0.03314664036246301,0.22898032200357782,0.21307124062835323,0.09528246309705776,0.10302482127637369,0
0.8112211,0.0,1.9369152,0.0,0.0,0.0,0.0,2.1378872,0.0,0.601811,2.5388484,0.74737537,0.0,0.0,3.87934,1.9418315,0.0,0.0,0.0,1.1382256,0.6786726,0.38858303,0.0,0.0,0.004018020211859249,0.007119491441398698,0.4800565347962953,0.2369114680470445,0.03175313059033989,0.019422606946204686,0.4141763896814469,0.004018020211859247,0
0.4028612,0.0,1.4281396,0.0,0.0,0.0,0.0,1.1805332,0.0,1.2347273,3.1679916,2.0137813,0.0,0.0,5.443111,2.3170419,0.0,0.0,0.0,0.89882016,0.7094085,0.0,0.0,0.4936782,0.008410012001878558,0.03342305688531325,0.25325257906168236,0.2507989789149967,0.029516994633273702,0.03481077262539932,0.19667006145080912,0.008410012001878554,0
0.0,0.0025990803,0.0029081837,0.0027514235,0.0,0.0,0.0,0.0,0.0,0.0048031937,0.0,0.0007076729,0.0,0.0,0.0023568785,0.0015102099,0.0,0.0,0.0,0.0034663428,0.004255638,0.0,0.0,0.0,0.00680106451444574,0.034192002564742446,0.25051897818529895,0.2876186872161828,0.024597495527728087,0.029528284121961436,0.20927624517553897,0.0068010645144457385,0
