0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,energy_N,entropy_N,kurtosis_N,mean_N,minimum_N,rootMeanSquare_N,skewness_N,sphericalDisproportion,sphericity,surfaceVolumeRatio,entropy0_N,homogeneity0_N,correlation0_N,shade0_N,promenance0_N,variance0_N,idm0_N,entropy135_N,correlation135_N,promenance135_N,variance135_N,entropy45_N,homogeneity45_N,correlation45_N,shade45_N,variance45_N,entropy90_N,inertia90_N,correlation90_N,shade90_N,variance90_N,idm90_N,sumvalues,sumsquares,amean,pvariance,skewness,scm,class
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.792051,20.878038,0.0,0.0,0.0,0.0,0.0,0.0,8.108679,4.1355624,0.0,6.890251,0.0,10.675073,6.4918656,6.887181,0.0,0.0,0.0,3.1062386,0.0,0.0,6.049791,0.0,0.0033855246592696224,0.5716405449531744,0.06022888860322464,0.4727122057566142,0.5862068965517241,0.4696746068558849,0.8726034240612935,0.4592060597044326,0.18663397107425486,0.3466221021068247,0.9616773870437337,0.04762079605745492,0.6666666565935783,0.99999996646589,1.2234873827037544e-10,9.191239617499485e-06,0.002077937508719265,0.9614077173628399,0.6666665453827192,1.2257597715736881e-10,9.343888736469255e-06,0.9612309774500956,0.04762812917906823,0.6666665555878981,0.9999999656266142,9.656096764551982e-06,0.9606826254522796,0.02674693918626756,0.10991840585908513,0.9999999590106605,1.1364359305302394e-05,0.002223674084369098,0.023875445211943288,0.026477822303455745,0.45096031854819796,0.0790870011813273,0.49639800593356126,0.013578466768521789,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2381841,12.460936,0.0,0.0,6.8516455,0.0,0.0,0.0,6.4617553,0.0,0.0,0.0,0.0,10.6171255,0.53190374,4.6339216,0.0,0.0,5.8671584,0.0,0.0,0.0,9.431789,0.0,0.008118904971981296,0.621751233280104,0.03539345440125329,0.3944079181483744,0.4896551724137931,0.3891293473731593,0.7179604825293667,0.47056163304804743,0.22442673605464306,0.3928082984775597,0.8748786030874353,0.14291265319535498,0.2857142858883609,0.9999993188746471,6.235505569175358e-09,7.440162513225822e-05,0.012153046900817551,0.8743634111692251,0.2857142001598157,6.239700747500758e-09,7.484969757636061e-05,0.8740254223604184,0.1429305500535894,0.2857142066804581,0.9999993127150123,7.575199383529054e-05,0.8732840463553282,0.028535708479817044,0.04011273631600032,0.9999992702841948,8.00501488149539e-05,0.010676469854377478,0.06403176331765897,0.06405317420682738,0.3506040278406567,0.09139581354133358,0.48213122843105816,0.04022293343343503,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.65918,0.0,0.0,0.0,0.0,0.0,0.0,0.30957085,2.4564195,0.0,0.0,0.0,0.8771895,0.0,11.335375,0.0,0.0,0.0,0.0,1.4924325,0.0,0.0,0.60773784,0.1598663963404014,0.9328706787265814,0.038883963467001376,0.7933524573290336,0.31034482758620685,0.819101239921819,0.7047735351480627,0.29491879702762014,0.0555397892837777,0.10481127371069286,0.666409790749108,0.3571113809269561,0.1250000001733525,0.9983306046268584,0.00019999011330697162,0.013935093421304386,0.1551506677572712,0.6657276412998648,0.12499995809333297,0.00020002488669374697,0.013956788758000457,0.6652821815231119,0.35712954152482257,0.12499996127755346,0.9983267076347035,0.01400018833342696,0.6645158439309582,0.13124977191117973,0.012908388532644144,0.9983074773423941,0.014162021520978162,0.15682536750975049,0.31050028040035466,0.4418012377779036,0.5239120704195174,0.48516741655478063,0.5895355786001639,0.7271052250899773,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3894415,0.0,0.0,6.0104756,0.0,0.0,0.0,0.0,1.0684233,0.0,0.0,0.0,6.582599,0.0,0.0,0.0,0.0,0.0,1.7188854,0.0,0.0,3.974325,0.0,0.0063181711056700856,0.6577227722764128,0.04160010522385359,0.3296904948597317,0.2827586206896552,0.3332604581599985,0.6962191776836028,0.40615682512934936,0.19002914687557831,0.2995762308675806,0.940647131935811,0.0714520320413595,0.500000000148918,0.9999997833289453,1.4156877049747484e-09,3.31615130780001e-05,0.010817453346838705,0.9402970960892661,0.4999998801876196,1.4175828505401968e-09,3.3558676403783034e-05,0.9400678506362762,0.07146161175855929,0.4999998893368209,0.9999997794244793,3.436550353955604e-05,0.9394452371462675,0.011209252277847019,0.07862476926450357,0.9999997423335151,3.932071789886729e-05,0.00893539072089112,0.03723553765579872,0.03506797719755113,0.2934160987055904,0.08748098991315248,0.5599596382949784,0.02545527991484605,0
0.0,0.2763012,4.2900267,0.0,0.0,0.0,0.0,2.1764908,5.2250624,1.258862,0.0,0.0,0.0,1.3646916,0.0,0.0,5.965369,2.2775931,0.39731947,1.2969891,0.0,3.8663769,5.4412203,2.001674,0.0,3.7655084,4.4095163,0.0,0.0,0.0,5.7685547,0.0,0.0006791981815843092,0.3854788748173844,0.03239919698410407,0.26192019515595055,0.46206896551724136,0.25362688310667614,0.7367339528237655,0.5359199798757466,0.38355416755101424,0.6087288542260418,0.9818968984873438,0.023822500770889165,0.9999999780586301,0.999999999521433,4.661443434330893e-13,4.913207165299046e-07,0.0019557221689857807,0.9817317708065052,0.9999999923520735,4.674949511216188e-13,5.04032495041587e-07,0.9816234928058561,0.023825008723776853,0.9999999972516638,0.9999999995027166,5.303814458261004e-07,0.9811997430902442,0.0020464405426357446,0.1858119494828839,0.9999999991768577,7.963916307141048e-07,0.001906803073981563,0.008741973285246597,0.006753428555831425,0.24526986054024658,0.04633358500764144,0.5562176157342054,0.004994621938175384,0
0.0,0.0,1.6454897,0.0,0.0,0.0,0.0,0.0,5.7371173,4.1598783,0.0,0.0,0.0,0.0,0.0,0.0,7.094016,1.104227,0.0,3.9999554,0.0,6.737119,6.0954394,2.3971767,0.0,0.4641678,2.2399368,0.0,0.0,0.0,8.164112,0.0,0.0007335934858330494,0.43974183185164384,0.03574237743479759,0.20652781981089696,0.2827586206896552,0.21451403333462904,0.7243642944610411,0.2626703502870918,0.39034451915366103,0.26033090978496554,0.981900022616456,0.02381864207611241,0.9999999547869137,0.9999999994435477,5.699465230243056e-13,5.432777845163388e-07,0.001713902171023774,0.9817348203564132,0.9999999897529044,5.715979564989134e-13,5.573338367565644e-07,0.9816262360062781,0.023821556003432373,0.9999999970533927,0.9999999994217851,5.864691848241814e-07,0.9812023239403537,0.003184949344928908,0.18581194948904506,0.9999999990428302,8.809657804013996e-07,0.0021560577680479554,0.008072542898538523,0.0058837920241975265,0.20546795640959847,0.06389286018725529,0.6081661744972405,0.006913994255948017,0
4.0699506,0.0,0.0,22.97428,0.0,0.0,0.0,0.0,0.0,65.94762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042620637506949346,0.7277619718499967,0.03666417999086177,0.46427457454185594,0.4275862068965517,0.4642610097953389,0.7025733908120195,0.3784072275949999,0.03274448419797257,0.11304182261980288,0.9408013743911262,0.07128602679359577,0.5000000005008626,0.9999622012543581,1.3799693546709235e-06,0.0010353455820461038,0.02989445746299457,0.940446614109663,0.49999988035163345,1.3818167344707083e-06,0.0010477455443012916,0.9402142911854707,0.07129584927754301,0.49999988939808787,0.9999615201108522,0.0010729357380317274,0.9395905255639805,0.09597369320311903,0.07847458264797164,0.9999556613298909,0.0012168550211039614,0.030038349936093594,0.08456956169283059,0.08880399356242266,0.40300999320725606,0.09532486112732103,0.6538269036191794,0.05119909140530458,0
0.0,0.0,1.1239916,0.0,0.0,0.0,0.0,1.9936832,7.170069,4.33327,0.0,0.0,1.5097381,3.5470629,0.0,0.0,10.750811,0.0,0.0,2.913333,0.0,7.7492466,8.152416,1.2733341,0.81471026,2.4060876,5.9719586,0.0,0.0,0.0,10.87986,0.0,0.0014115705057932014,0.44624055362030723,0.051460266461543384,0.4421120839867576,0.46206896551724136,0.4500446414466567,0.8880455433478273,0.42772145972569275,0.4841091614965935,0.517251157496919,0.9616613105252401,0.04764197591689993,0.6666666563513,0.9999999961449063,6.839070108966178e-12,2.1730656371220415e-06,0.0009620184214000773,0.9613923253268533,0.6666665445153821,6.851771302714915e-12,2.209156094423879e-06,0.9612159104490077,0.0476491022134789,0.6666665552678919,0.9999999960484232,2.282970780047739e-06,0.960668190821272,0.007723502161452601,0.11043556820360682,0.9999999951217861,2.7451494226199672e-06,0.001099275776802118,0.018048820892745846,0.020953654598904962,0.44535455780892075,0.12081670165716235,0.7325185565473973,0.01647597329638946,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.609399,0.0,0.0,5.9366693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.480592,0.0,4.929938,0.0,0.0,0.0,0.0,0.0,0.0,7.8122153,0.0,0.008164680662229277,0.5320762782643939,0.07795364652011255,0.418254292758079,0.3448275862068965,0.41753324164973493,0.5784006744744634,0.28695090076910484,0.24228533094812163,0.2231457329388753,0.9190890607152801,0.09527244988173861,0.39999999997373453,0.9999995699019385,3.456580429740212e-09,5.351657435462807e-05,0.006358969023303305,0.9186732974921418,0.39999989217108306,3.4601331691911894e-09,5.4008815064049336e-05,0.9184010228483196,0.09528302146885902,0.39999990040739364,0.9999995639551892,5.5004713903606015e-05,0.9177254933492175,0.025978901922360225,0.06034212984875015,0.9999995111538214,6.077159126800183e-05,0.0064762880271415895,0.036118009849996,0.03903754276217357,0.4400345638867448,0.07551564977230577,0.40113539682803784,0.018636279464705238,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67274755,8.910426,0.0,0.0,7.6421504,3.3920228,0.0,0.0,8.134577,0.85918736,0.0,0.34925753,0.0,6.4657674,5.719518,0.0,0.0,0.0,8.413537,0.0,0.0,0.0,5.596375,0.0,0.0020821401380477942,0.5074847184305195,0.041595752587961284,0.28089124999493487,0.13103448275862067,0.29568564071121217,0.6889839621334741,0.4973898704499846,0.3314282331895192,0.5140728818279677,0.9616682993049884,0.047640162771712034,0.6666666630181756,0.999999991118191,2.0810652432209704e-11,3.790680454352115e-06,0.003129317167522792,0.9613990980093848,0.6666665458716968,2.0849302761349384e-11,3.853636466154685e-06,0.961222638366178,0.047646842566085666,0.6666665556786959,0.9999999908959016,3.982398296321286e-06,0.9606751978848228,0.005557073075787418,0.11109794922130123,0.9999999882392314,4.933483821434496e-06,0.0028268556602432564,0.01552046515227844,0.014052163280738219,0.22813913661929253,0.12386587594370807,0.44205189886463525,0.01925272874139407,0
