0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,compactness1,compactness2,sphericalDisproportion,sphericity,area,surfaceArea,surfaceVolumeRatio,volume,class
0.0,0.0,0.0,0.0,0.0,0.0,1.9065357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.042494,0.0,0.004331112695900229,0.006587958626294798,0.4932942622257319,0.22207960644007158,0.034436493738819324,0.020638964654578366,0.4149065533259485,0.004331112695900228,0
0.0,0.0,0.0,0.0,0.0,0.0,6.0325885,0.0,4.1938148,0.0,0.0,5.327952,0.9092408,0.0,7.6288347,0.0,0.004887721556417526,0.024459416074664148,0.2925791532737376,0.31244409660107336,0.021914132379248663,0.022744504866978925,0.2614934448424857,0.004887721556417526,0
0.0,0.0,0.0,0.0,0.0,0.0,5.932426,0.54796666,3.2795005,0.0,0.0,3.3220654,2.4943416,0.0,4.1624436,0.0,0.002235132455514776,0.026863646081711393,0.28041460322086953,0.4841091614965935,0.01073345259391771,0.011931147307858757,0.31435003879106854,0.002235132455514776,0
0.0,0.0,0.0,0.5792094,0.0,0.0,4.527267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.586868,0.0,0.012123636743142409,0.04349606285510378,0.2226637962603253,0.21752341365884456,0.0353309481216458,0.0459739721110005,0.157084418297546,0.012123636743142405,0
0.0,0.0,0.0,2.9758966,0.0,0.0,6.1848903,0.0,0.7712352,0.0,0.0,2.3340588,0.0,0.0,11.42193,0.0,0.006453183976622428,0.00805792465921665,0.4592060597044326,0.18663397107425486,0.042486583184257604,0.02834011269841128,0.3466221021068247,0.006453183976622427,0
0.0,0.0,0.0,5.3012013,0.0,0.0,1.9051427,0.0,0.0,0.0,0.0,0.96374875,0.0,0.0,6.733709,0.0,0.016715659842410118,0.010368424573491188,0.4179621757205422,0.10887573964497042,0.07692307692307693,0.058404781814869564,0.2335199450209071,0.016715659842410115,0
0.0,0.0,0.0,5.3614473,0.0,3.7768548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0459376250195683,0.0348407835505168,0.24827326364566665,0.0804816776610018,0.10420393559928444,0.12114496949550621,0.10259212522107396,0.04593762501956828,0
0.0,0.0,0.0,5.1158366,0.0,0.0059939986,1.4674326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0372086,0.0,0.007562053190934235,0.004705550510975442,0.5518612533645386,0.1446243291592129,0.056797853309481214,0.032067823593352744,0.38653954169409943,0.007562053190934233,0
0.0,0.0,0.0,1.6360624,0.0,0.0,4.6979895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8188624,0.0,0.004539841018594216,0.007747022883745853,0.4657931060847834,0.22682176627359346,0.03354203935599285,0.021436714062932752,0.3898718279522305,0.004539841018594214,0
0.0,0.0,0.0,0.0,0.0,0.0,7.0912676,0.0,3.506698,0.0,0.0,2.717032,0.0,0.0,7.1732717,0.0,0.0032526830286479635,0.008528685831674042,0.4497684481259756,0.2801710644007156,0.025491949910554562,0.016337465422975414,0.41562385500923255,0.0032526830286479617,0
0.0,0.0,0.0,1.1229119,0.0,0.0,3.4494312,0.0,1.2387172,0.0,0.0,3.466087,0.19320612,0.0,6.420087,0.0,0.0029526360647753568,0.0027985952779028865,0.6433957882476009,0.21752341365884456,0.0353309481216458,0.01507853041232529,0.5796183046401107,0.002952636064775356,0
0.0,0.0,0.0,0.04885199,0.0,0.0,6.2556014,0.0,3.7274795,0.0,0.0,7.6254764,0.37751308,0.0,7.1216674,0.0,0.002691725661407873,0.0024975269787364364,0.6631098692874113,0.22207960644007158,0.034436493738819324,0.01395784463485797,0.6094211518965064,0.0026917256614078728,0
0.0,0.0,0.0,0.17986313,0.0,0.0,4.0984044,0.0,2.6582804,0.0,0.0,2.9519506,0.0,0.0,6.042068,0.0,0.00857525525734463,0.011367498970670341,0.403364795323774,0.17413110145668284,0.04606440071556351,0.03533555690722388,0.28390699438896794,0.008575255257344627,0
0.0,0.0,0.0,0.75651526,0.0,0.0,1.2990719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1426473,0.0,0.019759614548364095,0.059514909123798566,0.1892193178360282,0.17560644007155635,0.04561717352415027,0.06605090751077862,0.11589079305150739,0.019759614548364092,0
0.0,0.0,0.0,5.255222,0.0,6.5406704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05793950357447253,0.04367352943759527,0.22220914837644662,0.07360035649012227,0.11359570661896244,0.14267534225044798,0.0847876874360535,0.05793950357447253,0
0.0,0.0,0.0,0.0,0.0,0.0,5.633104,0.0,2.892063,0.0,0.0,0.01637846,0.0,0.0,8.786512,0.0,0.005539997564836236,0.03325636884675239,0.25385581264060136,0.3216649629440327,0.02101967799642218,0.02512959779484312,0.22571277146616184,0.005539997564836235,0
0.0,0.0,0.0,0.0,0.0,0.0,5.6651235,0.0,2.4707239,0.0,0.0,0.5866838,0.0,0.0,5.2769704,0.0,0.004574629072376547,0.08176691742445301,0.15844286816957165,0.4841091614965935,0.01073345259391771,0.021568695243930264,0.17208745872240921,0.004574629072376546,0
0.0,0.49631613,0.0,16.39879,0.0,12.269539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05820041397784004,0.013994198147980568,0.3713537720327018,0.048097149432313635,0.1677101967799642,0.1431261814193309,0.1325817930530082,0.05820041397784001,0
0.0,0.0,0.0,0.0,0.0,0.0,3.8507824,0.0,1.6474876,0.0,0.0,0.3762315,0.0,0.0,4.4307265,0.0,0.01019289975822303,0.3784552992559587,0.04675507845766465,0.5060822898032202,0.009838998211091235,0.04032409027051639,0.06855993776741186,0.010192899758223026,0
