0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,class
0.0,0.0,0.0,0.0,0.0,0.0,1.9065357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.042494,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,6.0325885,0.0,4.1938148,0.0,0.0,5.327952,0.9092408,0.0,7.6288347,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,5.932426,0.54796666,3.2795005,0.0,0.0,3.3220654,2.4943416,0.0,4.1624436,0.0,0
0.0,0.0,0.0,0.5792094,0.0,0.0,4.527267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.586868,0.0,0
0.0,0.0,0.0,2.9758966,0.0,0.0,6.1848903,0.0,0.7712352,0.0,0.0,2.3340588,0.0,0.0,11.42193,0.0,0
0.0,0.0,0.0,5.3012013,0.0,0.0,1.9051427,0.0,0.0,0.0,0.0,0.96374875,0.0,0.0,6.733709,0.0,0
0.0,0.0,0.0,5.3614473,0.0,3.7768548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,5.1158366,0.0,0.0059939986,1.4674326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0372086,0.0,0
0.0,0.0,0.0,1.6360624,0.0,0.0,4.6979895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8188624,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,7.0912676,0.0,3.506698,0.0,0.0,2.717032,0.0,0.0,7.1732717,0.0,0
0.0,0.0,0.0,1.1229119,0.0,0.0,3.4494312,0.0,1.2387172,0.0,0.0,3.466087,0.19320612,0.0,6.420087,0.0,0
0.0,0.0,0.0,0.04885199,0.0,0.0,6.2556014,0.0,3.7274795,0.0,0.0,7.6254764,0.37751308,0.0,7.1216674,0.0,0
0.0,0.0,0.0,0.17986313,0.0,0.0,4.0984044,0.0,2.6582804,0.0,0.0,2.9519506,0.0,0.0,6.042068,0.0,0
0.0,0.0,0.0,0.75651526,0.0,0.0,1.2990719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1426473,0.0,0
0.0,0.0,0.0,5.255222,0.0,6.5406704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,5.633104,0.0,2.892063,0.0,0.0,0.01637846,0.0,0.0,8.786512,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,5.6651235,0.0,2.4707239,0.0,0.0,0.5866838,0.0,0.0,5.2769704,0.0,0
0.0,0.49631613,0.0,16.39879,0.0,12.269539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,3.8507824,0.0,1.6474876,0.0,0.0,0.3762315,0.0,0.0,4.4307265,0.0,0
0.0,0.0,0.0,1.3075055,0.0,0.0,4.7446747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5861273,0.0,0
0.0,0.0,0.0,3.2399354,0.0,1.8004049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.207754,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,8.599032,0.0,3.6365342,0.0,0.0,4.697161,0.5636286,0.0,8.483071,0.0,0
0.0,0.0,0.0,0.7996628,0.0,0.6576003,0.12995048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4494596,0.0,0
0.0,0.0,0.0,3.8761873,0.0,3.1722622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,4.5042896,0.0,3.0146077,0.0,0.9959633,1.2232934,2.4996343,0.0,4.8477206,0.0,0
