0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,class
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07396533,0.0,2.7445164,2.0184233,0.0,0.0,0.51322633,1.2811766,0.0,4.742751,4.35073,1.2117504,0.33601034,4.318588,0.0,0.52250093,0.91689765,0
0.0,0.0,5.9933796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0666575,0.0,0.0,3.0688334,0.6311013,0.0,0.0,0.0,0.0,0.0,0.0,1.299794,4.0173807,0.0,0
0.0,0.0,0.0,0.0,0.24689448,1.4919627,0.045776673,0.0,0.0,0.0,0.6604054,0.0,0.0,1.3977602,0.6287226,0.67117715,0.0,0.0,0.0,0.0,1.3592966,0.52388674,2.9524817,0.0,0
0.117503814,0.0,0.0,0.0,0.0,0.0,0.0,0.18901163,0.0,1.8708026,2.2484283,0.3186516,0.8589132,0.0,0.0,0.0,1.836911,1.4300812,0.0,0.6688191,1.3014618,0.14097948,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.3794495,0.0,0.0,0.0,0.9399632,0.0,0.0,0.0,0.5242183,0.10298098,1.5154152,1.0349942,1.5226002,0.12535596,0.78291625,2.2036703,0.58224463,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9007883,0.87546533,0.0,0.0,0.0,1.2485377,0.0,1.1655042,1.4848472,0.0,0.29551867,0.80523837,0.0,0.0,0.0,0
0.0,1.0262927,0.0,0.0,0.0,0.0,0.0,0.43053538,0.0,2.471161,2.4919257,0.0,0.0,0.9766488,0.5782623,0.0,3.0156193,4.073998,0.0,1.0925161,2.1778388,0.0,0.0,0.0,0
0.0,0.0,9.071347,0.0,0.0,0.9806978,0.0,0.0,0.0,0.0,5.272366,0.0,0.0,3.3654785,4.1853356,0.0,0.0,0.0,0.0,0.0,0.0,0.16983064,2.759764,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.2733324,0.0,0.0,0.111948445,0.424171,0.0,0.008223059,0.6515367,1.0423255,0.15877905,0.0,0.0,0.0,0.44973207,1.9765174,0.2623793,0.0,0.0,0
0.0,0.9676702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334793,1.0866838,0.0,0.0,0.789382,0.3048509,0.0,1.9163423,2.9879072,0.0,0.72022253,4.1679997,0.0,0.28694573,0.0,0
